Órgão,Microregiao
Procon Municipal de Rinópolis,Adamantina
Procon Municipal de Rio Claro,Rio Claro
Procon Municipal de Rio das Pedras ,Piracicaba
Procon Municipal de Rio Grande da Serra,Sao Paulo
 Procon Municipal de Rosana,Presidente Prudente
Procon Municipal de Salto,Sorocaba
Procon Municipal de Salto Grande,Ourinhos
Procon Municipal de Santa Bárbara D’Oeste,Campinas
Procon Municipal de Santa Cruz das Palmeiras,Pirassununga
Procon Municipal de  Santa Cruz do Rio Pardo,Ourinhos
Procon Municipal de Santa Fé do Sul,Jales
 Procon Municipal de Santa Gertrudes,Limeira
Procon Municipal de Santa Isabel,Guarulhos
Procon Municipal de Santa Mercedes,Dracena
Procon Municipal de Santa Rita do Passa Quatro,Ribeirao Preto
Procon Municipal de Santa Rosa do Viterbo,Ribeirao Preto
Procon Municipal de Santana de Parnaíba,Osasco
Procon Municipal de Santo André,Sao Paulo
 Procon Municipal de Santo Antônio de Posse,Moji Mirim
Procon Municipal de Santos,Santos
Procon Municipal de São Bernardo do Campo,Sao Paulo
Procon Municipal de São Caetano do Sul,Sao Paulo
Procon Municipal de São Carlos,Sao Carlos
Procon Municipal de São João da Boa Vista,Sao Joao da Boa Vista
Procon Municipal de São Joaquim da Barra,Sao Joaquim da Barra
Procon Municipal de São José do Rio Pardo,Sao Joao da Boa Vista
Procon Municipal de São José do Rio Preto,Sao Jose do Rio Preto
 Procon Municipal de São José dos Campos,Sao Jose dos Campos
Procon Municipal de São Manuel,Botucatu
Procon Municipal de São Miguel Arcanjo,Piedade
Procon Municipal de São Pedro,Piracicaba
Procon Municipal de São Roque,Sorocaba
Procon Municipal de São Sebastião,Caraguatatuba
Procon Municipal de São Sebastião da Grama,Sao Joao da Boa Vista
Procon Municipal de São Simão,Ribeirao Preto
Procon Municipal de São Vicente,Santos
 Procon Municipal de Serra Negra,Amparo
Procon Municipal de Serrana,Ribeirao Preto
Procon Municipal de Sertãozinho,Ribeirao Preto
Procon Municipal de Severínia,Catanduva
Procon Municipal de Socorro,Amparo
Procon Municipal de Sorocaba,Sorocaba
Procon Municipal de Sumaré,Campinas
Procon Municipal de Suzano,Mogi das Cruzes
Procon Municipal de Taboão da Serra,Itapecerica da Serra
Procon Municipal de Tambaú,Sao Joao da Boa Vista
Procon Municipal de Tapiratiba,Sao Joao da Boa Vista
Procon Municipal de Taquaritinga,Jaboticabal
Procon Municipal de Tarumã,Assis
Procon Municipal de Tatuí,Tatui
Procon Municipal de Taubaté,Sao Jose dos Campos
Procon Municipal de Teodoro Sampaio,Presidente Prudente
Procon Municipal de Tietê,Piracicaba
Procon Municipal de Tupã,Tupa
Procon Municipal de Ubatuba,Caraguatatuba
Procon Municipal de Valinhos,Campinas
Procon Municipal de Valparaíso,Araçatuba
Procon Municipal de Vargem Grande do Sul,Sao Joao da Boa Vista
Procon Municipal de Várzea Paulista,Jundiai
Procon Municipal de Vinhedo,Campinas
Procon Municipal de Viradouro,Jaboticabal
Procon Municipal de Votorantim,Sorocaba
Procon Municipal de Votuporanga,Votuporanga
Posto de Atendimento do Procon Municipal de Franca /SP    Unidade - Centro ,Franca
Posto de Atendimento do Procon Estadual - Poupatempo Itaquera  ,Sao Paulo
Posto de Atendimento do Procon Estadual - Poupatempo Santo Amaro  ,Sao Paulo
Posto de Atendimento do Procon Estadual - Poupatempo SÉ ,Sao Paulo
Posto de Atendimento do Procon Estadual - Unidade CIC - Casa da Cidadania  - Jabaquara ,Sao Paulo
Posto de Atendimento do Procon Estadual - Unidade CIC - Do Imigrante ,Sao Paulo
Posto de Atendimento do Procon Estadual - Unidade CIC  Feitiço da Vila  - Capão Redondo,Sao Paulo
Posto de Atendimento do Procon - Unidade CIC - Grajaú,Sao Paulo
Posto de Atendimento do Procon Estadual  - Unidade CIC Leste  - Itaim Paulista,Sao Paulo
Posto de Atendimento do Procon Estadual - Unidade CIC  Norte  - Jaçanã ,Sao Paulo
Posto de Atendimento do Procon Estadual -Unidade CIC - Oeste  ,Sao Paulo
Posto de Atendimento do Procon Estadual - Unidade CIC - Sul - Jardim São Luis,Sao Paulo
Núcleo Regional do Procon Estadual - Bauru,Bauru
Núcleo Regional do Procon Estadual - Campinas,Campinas
Núcleo Regional do Procon Estadual - Presidente Prudente ,Presidente Prudente
Núcleo Regional do Procon Estadual - Ribeirão Preto ,Ribeirao Preto
Núcleo Regional do Procon Estadual - Santos ,Santos
Núcleo Regional do Procon Estadual -  São José dos Campos,Sao Jose dos Campos
Núcleo Regional do Procon Estadual - São José do Rio Preto ,Sao Jose do Rio Preto
Núcleo Regional do Procon Estadual - Sorocaba,Sorocaba
